name,id,follower,following,year,score,bot,url
ZeinabEslamiii,1505338183957065733,2480,4886,2022,1.0,True,https://twitter.com/intent/user?user_id=1505338183957065733
Noorzahra101,1222895300936749056,3558,4596,2020,1.0,True,https://twitter.com/intent/user?user_id=1222895300936749056
rooz_7882,1259182050197811200,2473,2830,2020,1.0,True,https://twitter.com/intent/user?user_id=1259182050197811200
M_s_pppp,1521933319185010688,1690,1817,2022,1.0,True,https://twitter.com/intent/user?user_id=1521933319185010688
atousa1380,1493294623023788034,305,295,2022,0.1446078431372549,False,https://twitter.com/intent/user?user_id=1493294623023788034
Z59040524,1300780803882774531,3312,3106,2020,1.0,True,https://twitter.com/intent/user?user_id=1300780803882774531
Hastibano3,1519717919214743563,1650,1652,2022,1.0,True,https://twitter.com/intent/user?user_id=1519717919214743563
rzaqpwr,1532608076267802625,215,379,2022,0.2631944444444444,True,https://twitter.com/intent/user?user_id=1532608076267802625
didehban1367,1283295051695742981,6021,6427,2020,1.0,True,https://twitter.com/intent/user?user_id=1283295051695742981
ya_zahraaa88,1469328108121591808,829,0,2021,1.0,True,https://twitter.com/intent/user?user_id=1469328108121591808
moeinpejman1373,1532257819847798784,352,1212,2022,0.515014164305949,True,https://twitter.com/intent/user?user_id=1532257819847798784
_a1366_b,1492620129959653376,1127,2172,2022,1.0,True,https://twitter.com/intent/user?user_id=1492620129959653376
zeinab55731037,1530923082214416388,343,518,2022,0.2258720930232558,True,https://twitter.com/intent/user?user_id=1530923082214416388
Helma_q,1511074548288036869,325,465,2022,0.2139570552147239,True,https://twitter.com/intent/user?user_id=1511074548288036869
m_saadatii,1400043153256747013,9892,8973,2021,1.0,True,https://twitter.com/intent/user?user_id=1400043153256747013
sarkotom1,1521436733015007233,12129,9197,2022,1.0,True,https://twitter.com/intent/user?user_id=1521436733015007233
joekar9,1016389950936354818,2180,4616,2018,0.6,True,https://twitter.com/intent/user?user_id=1016389950936354818
d_Fariba76,1214962175678308354,6656,6952,2020,1.0,True,https://twitter.com/intent/user?user_id=1214962175678308354
hesam_m3,161016171,45793,46130,2010,0.9,True,https://twitter.com/intent/user?user_id=161016171
Fatemeh13_13,1335931487254949888,11005,10585,2020,1.0,True,https://twitter.com/intent/user?user_id=1335931487254949888
Fatemeh_sadat98,1370828466782928898,5821,4771,2021,1.0,True,https://twitter.com/intent/user?user_id=1370828466782928898
rezakarimi_,1098814211780689920,10289,7092,2019,1.0,True,https://twitter.com/intent/user?user_id=1098814211780689920
chashme_bidar,2217247718,14169,11058,2013,0.9,True,https://twitter.com/intent/user?user_id=2217247718
mrhesam_zabihi,1531979067188207623,371,388,2022,0.1564516129032258,False,https://twitter.com/intent/user?user_id=1531979067188207623
AliHasanpour15,1138469579095793664,207,232,2019,0.0836538461538461,False,https://twitter.com/intent/user?user_id=1138469579095793664
s_shhr,1454887669679353856,44701,44869,2021,1.0,True,https://twitter.com/intent/user?user_id=1454887669679353856
haj_mohmmad61,1378960152380854274,1259,1859,2021,1.0,True,https://twitter.com/intent/user?user_id=1378960152380854274
Yakhadijeh,1531346511510003712,1067,1355,2022,1.0,True,https://twitter.com/intent/user?user_id=1531346511510003712
bacheh_seyed,1479655485536186368,1097,964,2022,0.1316939890710382,False,https://twitter.com/intent/user?user_id=1479655485536186368
nabi_11111,1428420690051571725,2303,4956,2021,1.0,True,https://twitter.com/intent/user?user_id=1428420690051571725
narges_mzi,1515410547725983746,473,633,2022,0.2003164556962025,True,https://twitter.com/intent/user?user_id=1515410547725983746
AlizadehR3,1396884076653596673,22823,14277,2021,1.0,True,https://twitter.com/intent/user?user_id=1396884076653596673
radio_shohada,1510646519657078789,3591,4272,2022,1.0,True,https://twitter.com/intent/user?user_id=1510646519657078789
mobina_8278,1258729431524413441,3229,3263,2020,1.0,True,https://twitter.com/intent/user?user_id=1258729431524413441
Javadabbasi483,1528986769315749889,857,1107,2022,0.1935314685314685,False,https://twitter.com/intent/user?user_id=1528986769315749889
Arash23373154,1375357619527954434,6574,6508,2021,1.0,True,https://twitter.com/intent/user?user_id=1375357619527954434
O_R_A_1988,1526565723421782016,252,277,2022,0.1642292490118577,False,https://twitter.com/intent/user?user_id=1526565723421782016
taaha314,1379414813277892614,6510,4987,2021,1.0,True,https://twitter.com/intent/user?user_id=1379414813277892614
bitormozz,1264169627195600897,13947,10326,2020,1.0,True,https://twitter.com/intent/user?user_id=1264169627195600897
MA_Qarebagh,1022566104399536131,4559,4241,2018,1.0,True,https://twitter.com/intent/user?user_id=1022566104399536131
gharaei9373,1247811875099860993,1114,1459,2020,1.0,True,https://twitter.com/intent/user?user_id=1247811875099860993
faryad_78,1441427720945029120,15374,9790,2021,1.0,True,https://twitter.com/intent/user?user_id=1441427720945029120
iam_he_wey,1335682280875057153,1995,2338,2020,0.9370741482965932,True,https://twitter.com/intent/user?user_id=1335682280875057153
Amirali12317,1531148467103580160,223,436,2022,0.2919642857142857,True,https://twitter.com/intent/user?user_id=1531148467103580160
Maryam81095908,1490642864933679106,1543,2971,2022,1.0,True,https://twitter.com/intent/user?user_id=1490642864933679106
aghaye_ashna,728305465742893060,1527,1426,2016,0.3359685863874346,True,https://twitter.com/intent/user?user_id=728305465742893060
