name,id,follower,following,year,score,bot,url
hosini7701,1405021081258364929,3697,4644,2021,1.0,True,https://twitter.com/intent/user?user_id=1405021081258364929
MahdiFinizadeh,1100935095999959040,33725,26411,2019,1.0,True,https://twitter.com/intent/user?user_id=1100935095999959040
sandys_khor,1341835087864848384,13718,8522,2020,1.0,True,https://twitter.com/intent/user?user_id=1341835087864848384
jamshid1401,1524261740535599104,491,653,2022,0.2389024390243902,True,https://twitter.com/intent/user?user_id=1524261740535599104
NimaV79,1504623838197391365,177,227,2022,0.2295505617977528,True,https://twitter.com/intent/user?user_id=1504623838197391365
shakerimoghadam,1485217733742583809,84,168,2022,0.3557647058823529,True,https://twitter.com/intent/user?user_id=1485217733742583809
donbale_hagh,1244531062010765312,221,284,2020,0.1535135135135135,False,https://twitter.com/intent/user?user_id=1244531062010765312
saeidrahmatii,1206655658252099585,508,273,2019,0.048271119842829,False,https://twitter.com/intent/user?user_id=1206655658252099585
S__taleblou,1190912066133118978,435,231,2019,0.0476834862385321,False,https://twitter.com/intent/user?user_id=1190912066133118978
irantehrann,1288528814339952642,103,168,2020,0.1938461538461538,False,https://twitter.com/intent/user?user_id=1288528814339952642
sydsnmwswy1,1576932915606331392,39,43,2022,0.1935,False,https://twitter.com/intent/user?user_id=1576932915606331392
m_namazi1997,1218523278081310722,1216,1784,2020,0.3518159408381265,True,https://twitter.com/intent/user?user_id=1218523278081310722
Mostafa86086475,1232717820498259968,8122,3768,2020,1.0,True,https://twitter.com/intent/user?user_id=1232717820498259968
Amirza_tw,1580851600599425025,142,194,2022,0.2441958041958042,True,https://twitter.com/intent/user?user_id=1580851600599425025
pezhman369,1423638666979782661,1581,1966,2021,1.0,True,https://twitter.com/intent/user?user_id=1423638666979782661
tiahkal,1506878433145630720,2155,1214,2022,0.202708719851577,True,https://twitter.com/intent/user?user_id=1506878433145630720
amiroamiro1988,945180653791907840,1268,2759,2017,0.2348085106382979,True,https://twitter.com/intent/user?user_id=945180653791907840
mubagheri,1511431029252403200,684,1235,2022,0.3245255474452554,True,https://twitter.com/intent/user?user_id=1511431029252403200
Jaberebrahimi51,1480672694047846532,726,527,2022,0.1304814305364511,False,https://twitter.com/intent/user?user_id=1480672694047846532
aghaei1364,1031016169497550848,5315,5244,2018,1.0,True,https://twitter.com/intent/user?user_id=1031016169497550848
imfatisa1,1581024012955688965,64,65,2022,0.18,False,https://twitter.com/intent/user?user_id=1581024012955688965
Sajede90,1444563939220729856,1044,1191,2021,0.3419138755980861,True,https://twitter.com/intent/user?user_id=1444563939220729856
JanfazaMahnaz,1406028623417589765,38,53,2021,0.2038461538461538,True,https://twitter.com/intent/user?user_id=1406028623417589765
ftmhsyd,1469778546818265089,138,235,2021,0.2535971223021583,True,https://twitter.com/intent/user?user_id=1469778546818265089
Al__Abd_,1396801099403776001,1937,3073,2021,1.0,True,https://twitter.com/intent/user?user_id=1396801099403776001
mza302,713372064640536576,42,98,2016,0.1230697674418604,False,https://twitter.com/intent/user?user_id=713372064640536576
mehad_313,1344278876541906945,590,910,2020,0.1847715736040609,False,https://twitter.com/intent/user?user_id=1344278876541906945
FatemehHaddadi2,1575572612582875137,152,232,2022,0.2729411764705882,True,https://twitter.com/intent/user?user_id=1575572612582875137
sepahi_h,1218140713939914754,3929,4965,2020,1.0,True,https://twitter.com/intent/user?user_id=1218140713939914754
shahsaneham,1233763112035258369,1242,1418,2020,0.2737892196299276,True,https://twitter.com/intent/user?user_id=1233763112035258369
FrhdDansh,1581055544441405445,38,257,2022,1.0,True,https://twitter.com/intent/user?user_id=1581055544441405445
Gissgolabatoonn,1481939827247521796,1619,1499,2022,0.3331111111111111,True,https://twitter.com/intent/user?user_id=1481939827247521796
pesarkhatkhati,1247541021367357442,25,41,2020,0.1892307692307692,False,https://twitter.com/intent/user?user_id=1247541021367357442
fatahi_hossen,1565329118358544384,8,23,2022,0.4599999999999999,True,https://twitter.com/intent/user?user_id=1565329118358544384
ElyasAhmadi_1,1431220162938687495,1711,2489,2021,1.0,True,https://twitter.com/intent/user?user_id=1431220162938687495
HedayatiYeganeh,1159306457268908032,842,848,2019,0.0905338078291815,False,https://twitter.com/intent/user?user_id=1159306457268908032
rasolgando,1374787978908864522,3673,3647,2021,1.0,True,https://twitter.com/intent/user?user_id=1374787978908864522
___zhra,1439931710557368323,1448,1400,2021,0.289855072463768,True,https://twitter.com/intent/user?user_id=1439931710557368323
mobinamahdavi5,1545751032357158912,744,866,2022,0.209234899328859,True,https://twitter.com/intent/user?user_id=1545751032357158912
m_alizaee,1361642439472152579,4079,4972,2021,1.0,True,https://twitter.com/intent/user?user_id=1361642439472152579
elahe013,1532398322820030465,4,19,2022,0.6839999999999999,True,https://twitter.com/intent/user?user_id=1532398322820030465
boShraaaa19,1537156972188942336,151,153,2022,0.1811842105263157,False,https://twitter.com/intent/user?user_id=1537156972188942336
fatemeh_kh7_,1530901407120900097,115,192,2022,0.2979310344827586,True,https://twitter.com/intent/user?user_id=1530901407120900097
h_hoseini_2,1548276551078146049,206,199,2022,0.1730434782608695,False,https://twitter.com/intent/user?user_id=1548276551078146049
Feezzeeh,1265779356632309760,772,740,2020,0.1148771021992238,False,https://twitter.com/intent/user?user_id=1265779356632309760
