name,id,follower,following,year,score,bot,url
Mohadeseh1993,1507138286225088513,8424,3701,2022,1.0,True,https://twitter.com/intent/user?user_id=1507138286225088513
pelak89sadra,1587546156174819337,54,347,2022,1.0,True,https://twitter.com/intent/user?user_id=1587546156174819337
sarbaz_iran10,1483833623937794051,488,797,2022,0.2933742331288343,True,https://twitter.com/intent/user?user_id=1483833623937794051
i_ansar_313,1301287215537029123,1744,3008,2020,1.0,True,https://twitter.com/intent/user?user_id=1301287215537029123
Moslehz2,1576781084125286400,2,72,2022,1.0,True,https://twitter.com/intent/user?user_id=1576781084125286400
hiddenm69941787,1556959962525356032,668,1162,2022,0.3126457399103139,True,https://twitter.com/intent/user?user_id=1556959962525356032
mohamma10303905,1584938076081618948,12,135,2022,1.0,True,https://twitter.com/intent/user?user_id=1584938076081618948
MMahdiHussaini1,1402699833136271368,163,759,2021,0.6942073170731708,True,https://twitter.com/intent/user?user_id=1402699833136271368
sdyhet,1588121069944184832,6,41,2022,1.0,True,https://twitter.com/intent/user?user_id=1588121069944184832
Vahid709,948320735491121153,2119,1556,2018,0.3523018867924528,True,https://twitter.com/intent/user?user_id=948320735491121153
mohammadvaezy,1213790031220920320,608,1422,2020,0.2801970443349754,True,https://twitter.com/intent/user?user_id=1213790031220920320
shiat_3li_2022,1401512863802527746,1478,5008,2021,1.0,True,https://twitter.com/intent/user?user_id=1401512863802527746
jwdmmdy12,1587411192766767104,107,234,2022,0.39,True,https://twitter.com/intent/user?user_id=1587411192766767104
adelalavi_ir,1233737423626145794,10065,8700,2020,1.0,True,https://twitter.com/intent/user?user_id=1233737423626145794
s_ashtari,1247101618224533505,2462,2485,2020,1.0,True,https://twitter.com/intent/user?user_id=1247101618224533505
sr89304236,1587336386847248387,3,96,2022,1.0,True,https://twitter.com/intent/user?user_id=1587336386847248387
sin_eef15,1588385412401201153,40,194,2022,0.8517073170731706,True,https://twitter.com/intent/user?user_id=1588385412401201153
bidaaad28,1552765477256105984,460,1362,2022,0.5318004338394793,True,https://twitter.com/intent/user?user_id=1552765477256105984
Birangi_ir,1159442231062880256,1235,1391,2019,0.2025728155339806,True,https://twitter.com/intent/user?user_id=1159442231062880256
