name,id,follower,following,year,score,bot,url
talaye_baba,1221432685429653510,26385,22663,2020,1.0,True,https://twitter.com/intent/user?user_id=1221432685429653510
hoseinemroozi,1576696138345979906,41,150,2022,0.642857142857143,True,https://twitter.com/intent/user?user_id=1576696138345979906
giso_68,1577742014233337857,44,113,2022,0.452,True,https://twitter.com/intent/user?user_id=1577742014233337857
aliabadan66,1580143541359091713,1,3,2022,0.27,True,https://twitter.com/intent/user?user_id=1580143541359091713
AliZaarei,598241376,135,535,2012,0.2124264705882353,True,https://twitter.com/intent/user?user_id=598241376
rahi8266666,1581922292761780225,6,181,2022,1.0,True,https://twitter.com/intent/user?user_id=1581922292761780225
narjesdaryaei,1581604683088596994,0,7,2022,1.0,True,https://twitter.com/intent/user?user_id=1581604683088596994
AmirfazliF,1572196889369677825,146,461,2022,0.5644897959183675,True,https://twitter.com/intent/user?user_id=1572196889369677825
Aram3284a,1411682312849432580,495,763,2021,0.2307459677419354,True,https://twitter.com/intent/user?user_id=1411682312849432580
arian904622252,1571399087223611394,93,222,2022,0.4251063829787235,True,https://twitter.com/intent/user?user_id=1571399087223611394
sajad13eslamian,1580984054760996879,3,20,2022,0.8999999999999999,True,https://twitter.com/intent/user?user_id=1580984054760996879
FrYwsfy,1577274118411636736,206,497,2022,0.4321739130434782,True,https://twitter.com/intent/user?user_id=1577274118411636736
sfyd_asman,1581772334872104960,18,159,2022,1.0,True,https://twitter.com/intent/user?user_id=1581772334872104960
ghost_killer72,1581742450623893509,47,181,2022,0.67875,True,https://twitter.com/intent/user?user_id=1581742450623893509
omidranjbar_art,1105960818804383746,151,993,2019,0.5879605263157894,True,https://twitter.com/intent/user?user_id=1105960818804383746
AmyrKbyr,1449722024692264961,3560,3597,2021,1.0,True,https://twitter.com/intent/user?user_id=1449722024692264961
MHB52828347,1497661742482137096,126,623,2022,0.8829921259842519,True,https://twitter.com/intent/user?user_id=1497661742482137096
vakashizoumaa,1580272006746017802,84,191,2022,0.4044705882352941,True,https://twitter.com/intent/user?user_id=1580272006746017802
jllal_k76,1579500600391307264,27,90,2022,0.5785714285714286,True,https://twitter.com/intent/user?user_id=1579500600391307264
Mohammad_135610,1580476413135691776,15,143,2022,1.0,True,https://twitter.com/intent/user?user_id=1580476413135691776
Rezamoghimi1347,1572621658824871940,11,315,2022,1.0,True,https://twitter.com/intent/user?user_id=1572621658824871940
pedar_tajrobe,1508033696854646786,232,716,2022,0.5531330472103004,True,https://twitter.com/intent/user?user_id=1508033696854646786
Samag_e_Faal,1579899241316716544,25,55,2022,0.3807692307692308,True,https://twitter.com/intent/user?user_id=1579899241316716544
DehatiAli,1580476174345637891,51,317,2022,1.0,True,https://twitter.com/intent/user?user_id=1580476174345637891
NaserKhansari1,1571744025920819200,100,293,2022,0.5221782178217822,True,https://twitter.com/intent/user?user_id=1571744025920819200
S_gomnam118,1509233838538559492,19,140,2022,1.0,True,https://twitter.com/intent/user?user_id=1509233838538559492
EnayatullahAn12,1578597651846766592,16,49,2022,0.5188235294117647,True,https://twitter.com/intent/user?user_id=1578597651846766592
Montaghem1361,1580468882875289605,260,334,2022,0.2303448275862069,True,https://twitter.com/intent/user?user_id=1580468882875289605
sn05584614,1581545243152769024,60,198,2022,0.5842622950819673,True,https://twitter.com/intent/user?user_id=1581545243152769024
Abd1992Ali,1581522041064329216,24,95,2022,0.6839999999999999,True,https://twitter.com/intent/user?user_id=1581522041064329216
kazim_shayda,1579425108682219521,42,230,2022,0.9627906976744184,True,https://twitter.com/intent/user?user_id=1579425108682219521
SarbazErkommt,1576506768791928833,500,828,2022,0.2974850299401197,True,https://twitter.com/intent/user?user_id=1576506768791928833
irandar1420,1580879887564476418,159,448,2022,0.504,True,https://twitter.com/intent/user?user_id=1580879887564476418
yq13248212,1580954775520018432,420,813,2022,0.3476009501187648,True,https://twitter.com/intent/user?user_id=1580954775520018432
Mamoballeghzada,1579019308398743552,244,610,2022,0.4481632653061225,True,https://twitter.com/intent/user?user_id=1579019308398743552
IR_Superhero,1413250610149928960,15739,17231,2021,1.0,True,https://twitter.com/intent/user?user_id=1413250610149928960
